dt,password,captcha,country,chess_img,chess_move,chess_solution,duration_list,youtube_url,absence_eng_letter,scr_letter,yt_ok
2023-07-24 17:53:49.187052,🐔🐛🐛🐛🐛1111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️d22bdestoniaRxf5+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/q_yoh-KbqQY,d22bd,estonia,https://neal.fun/password-game/chess/puzzle102.svg,White to move,Rxf5+,"['13', '3']",youtu.be/q_yoh-KbqQY,zwjgc,"(26, 23)",False
2023-07-24 18:05:24.428345,🐔🐛🐛🐛🐛11111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️myc3cnewzealandBf5+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/qvdHvb_uR_Q,myc3c,newzealand,https://neal.fun/password-game/chess/puzzle164.svg,White to move,Bf5+,"['11', '18']",youtu.be/qvdHvb_uR_Q,kjg,"(11, 10)",False
2023-07-24 18:09:50.654552,🐔🐛🐛🐛🐛111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️nnfx3australiaNe6+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/govSEaEP4HA,nnfx3,australia,https://neal.fun/password-game/chess/puzzle149.svg,White to move,Ne6+,"['17', '52']",youtu.be/govSEaEP4HA,zwqkjc,"(26, 23)",False
2023-07-24 21:08:34.135120,🐔🐛🐛🐛🐛1111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️mm3nnindonesiaQg6+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/yu_aBPlGRBc,mm3nn,indonesia,https://neal.fun/password-game/chess/puzzle8.svg,White to move,Qg6+,"['14', '32']",youtu.be/yu_aBPlGRBc,zwkjf,"(26, 23)",False
2023-07-24 21:27:16.036004,🐔🐛🐛🐛🐛111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️p4pderussiaQf8+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/pHiK4sAzeKc,p4pde,russia,https://neal.fun/password-game/chess/puzzle24.svg,White to move,Qf8+,"['31', '4']",youtu.be/pHiK4sAzeKc,wnjg,"(23, 14)",False
2023-07-24 21:29:06.598491,🐔🐛🐛🐛🐛1111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️gnc3nlatviaQxf8+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/eyupkrpm1oc,gnc3n,latvia,https://neal.fun/password-game/chess/puzzle94.svg,White to move,Qxf8+,"['5', '27']",youtu.be/eyupkrpm1oc,zwj,"(26, 23)",False
2023-07-24 21:30:52.550616,🐔🐛🐛🐛🐛111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️cffp4finlandQxh7+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/qPvhIyG5EAQ,cffp4,finland,https://neal.fun/password-game/chess/puzzle112.svg,White to move,Qxh7+,"['27', '9']",youtu.be/qPvhIyG5EAQ,zwrkj,"(26, 23)",False
2023-07-25 09:46:04.031084,🐔🐛🐛🐛🐛111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nbcgbnewzealandRe4+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/vaGmqdNcteE,nbcgb,newzealand,https://neal.fun/password-game/chess/puzzle188.svg,Black to move,Re4+,"['23', '45']",youtu.be/vaGmqdNcteE,kjf,"(11, 10)",False
2023-07-25 09:51:06.365929,🐔🐛🐛🐛🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️mm3nnindonesiaNf5+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/4dK-BcpcnGw,mm3nn,indonesia,https://neal.fun/password-game/chess/puzzle88.svg,White to move,Nf5+,"['35', '46']",youtu.be/4dK-BcpcnGw,zrqj,"(26, 18)",False
2023-07-25 09:54:55.626919,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nbp3eaustraliaQxe8+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/BerRrzmeyic,nbp3e,australia,https://neal.fun/password-game/chess/puzzle62.svg,White to move,Qxe8+,"['25', '49']",youtu.be/BerRrzmeyic,kjgf,"(11, 10)",False
2023-07-25 09:57:22.389334,🐔🐛🐛🐛🐛111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️be3bpsingaporeRa1+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/PBqjFihluag,be3bp,singapore,https://neal.fun/password-game/chess/puzzle139.svg,Black to move,Ra1+,"['34', '40']",youtu.be/PBqjFihluag,zkc,"(26, 11)",False
2023-07-25 10:40:04.181752,🐔🐛🐛🐛🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️cnwyccolombyoutu.be/tOJ_BdGsekc,cnwyc,colombia,https://neal.fun/password-game/chess/puzzle163.svg,White to move,Rh6,"['25', '17']",youtu.be/tOJ_BdGsekc,zrqf,"(26, 18)",False
2023-07-25 11:21:55.733542,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️mm3nniranBf5+FmSnFePFHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/iQA0sfA3ZEc,mm3nn,iran,https://neal.fun/password-game/chess/puzzle164.svg,White to move,Bf5+,"['31', '45']",youtu.be/iQA0sfA3ZEc,kjg,"(11, 10)",False
2023-07-25 11:25:19.411004,🐔🐛🐛🐛🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️gnc3nkuwaitBxf3+FmSnPHHHHHyoutu.be/oZeptvEaQwg,gnc3n,kuwait,https://neal.fun/password-game/chess/puzzle154.svg,Black to move,Bxf3+,"['26', '16']",youtu.be/oZeptvEaQwg,rj,"(18, 10)",False
2023-07-25 11:26:18.647147,🐔🐛🐛🐛🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️gnc3nspainQxd7+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHFmFePHHyoutu.be/gOqe2olOSuc,gnc3n,spain,https://neal.fun/password-game/chess/puzzle5.svg,White to move,Qxd7+,"['34', '50']",youtu.be/gOqe2olOSuc,zrkj,"(26, 18)",False
2023-07-25 11:33:43.791415,🐔🐛🐛🐛🐛1111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️b5nmmgermanyRh4+FmFHHHHHHyoutu.be/he_P_a_EbAk,b5nmm,germany,https://neal.fun/password-game/chess/puzzle123.svg,White to move,Rh4+,"['11', '47']",youtu.be/he_P_a_EbAk,zqjc,"(26, 17)",False
2023-07-25 11:34:50.425209,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️bny4windonesiaNxd7+FmFeHHHyoutu.be/bt-Ysloklak,bny4w,indonesia,https://neal.fun/password-game/chess/puzzle50.svg,White to move,Nxd7+,"['21', '58']",youtu.be/bt-Ysloklak,zrqjgc,"(26, 18)",False
2023-07-25 11:39:21.493190,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dn5dfbelgiumBh6+SnHHHyoutu.be/he_P_a_EbAk,dn5df,belgium,https://neal.fun/password-game/chess/puzzle46.svg,White to move,Bh6+,"['11', '46']",youtu.be/he_P_a_EbAk,zrqjc,"(26, 18)",False
2023-07-25 11:44:21.500490,🐔🐛🐛🐛🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️myc3citalyQxh7+FmSnPHyoutu.be/OiHpu-mdcrQ,myc3c,italy,https://neal.fun/password-game/chess/puzzle112.svg,White to move,Qxh7+,"['22', '42']",youtu.be/OiHpu-mdcrQ,zkjg,"(26, 11)",False
2023-07-25 11:56:35.121128,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️xngxcbulgariaBf7+FmSnPHHHHyoutu.be/EGhcZlE-4Hk,xngxc,bulgaria,https://neal.fun/password-game/chess/puzzle126.svg,White to move,Bf7+,"['15', '5']",youtu.be/EGhcZlE-4Hk,qj,"(17, 10)",False
2023-07-25 12:27:00.958760,🐔🐛11111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ng2gwspainQh6+FmFeHyoutu.be/olhcjYtFxmg,ng2gw,spain,https://neal.fun/password-game/chess/puzzle159.svg,White to move,Qh6+,"['15', '23']",youtu.be/olhcjYtFxmg,zrk,"(26, 18)",False
2023-07-25 12:30:56.093898,🐔🐛111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dn5dfbotswanaRg8+FePHHyoutu.be/sitHTBQPsRc,dn5df,botswana,https://neal.fun/password-game/chess/puzzle173.svg,White to move,Rg8+,"['14', '37']",youtu.be/sitHTBQPsRc,zkj,"(26, 11)",False
2023-07-25 12:38:47.644322,🐔🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️bgd4mcroatiaRxh6+FmSnFHyoutu.be/cPivZQZpbfA,bgd4m,croatia,https://neal.fun/password-game/chess/puzzle190.svg,White to move,Rxh6+,"['15', '3']",youtu.be/cPivZQZpbfA,kj,"(11, 10)",False
2023-07-25 12:39:35.007466,🐔🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️dbex3japanNe4+FmSnFHyoutu.be/prt1bk2B-gs,dbex3,japan,https://neal.fun/password-game/chess/puzzle180.svg,Black to move,Ne4+,"['6', '7']",youtu.be/prt1bk2B-gs,zqc,"(26, 17)",False
2023-07-25 12:41:55.652505,🐔🐛1111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️d22bdnorwayBh5+FHHyoutu.be/yxx3FhyzbFY,d22bd,norway,https://neal.fun/password-game/chess/puzzle55.svg,White to move,Bh5+,"['22', '12']",youtu.be/yxx3FhyzbFY,qkjgc,"(17, 11)",False
2023-07-25 09:59:21.953268,🐔🐛11111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ndyfecroatiaf5+FmSnFHHHHHHyoutu.be/ooBvzeguzBc,ndyfe,croatia,https://neal.fun/password-game/chess/puzzle91.svg,White to move,f5+,"['7', '16']",youtu.be/ooBvzeguzBc,qkj,"(17, 11)",False
2023-07-25 09:58:51.884195,🐔🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nbcgbfinlandNh8+SnFHHHyoutu.be/q3dqiRpGgGs,nbcgb,finland,https://neal.fun/password-game/chess/puzzle128.svg,White to move,Nh8+,"['32', '48']",youtu.be/q3dqiRpGgGs,zkj,"(26, 11)",False
2023-07-25 09:59:52.912964,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️x3fwffinlandBxf3+FmSnPHHHHHyoutu.be/bdAxwEApy__Q,x3fwf,finland,https://neal.fun/password-game/chess/puzzle154.svg,Black to move,Bxf3+,"['34', '34']",youtu.be/bdAxwEApy__Q,zrkjgc,"(26, 18)",False
2023-07-25 10:00:47.256438,🐔🐛111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nc4ygiranQg6+FmPHHHHHHHyoutu.be/jiEvibbf-hI,nc4yg,iran,https://neal.fun/password-game/chess/puzzle12.svg,White to move,Qg6+,"['5', '14']",youtu.be/jiEvibbf-hI,zk,"(26, 11)",False
2023-07-25 10:08:15.464573,🐔🐛11111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pcedebelgiumQxe8+FmSnPFHyoutu.be/ugcozgEZv_g,pcede,belgium,https://neal.fun/password-game/chess/puzzle62.svg,White to move,Qxe8+,"['22', '34']",youtu.be/ugcozgEZv_g,rkj,"(18, 11)",False
2023-07-25 10:00:28.157608,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️p4pdenigeriaRg2+SnFHHHHHyoutu.be/e_cuRyq-mlc,p4pde,nigeria,https://neal.fun/password-game/chess/puzzle168.svg,Black to move,Rg2+,"['19', '9']",youtu.be/e_cuRyq-mlc,zkj,"(26, 11)",False
2023-07-25 10:01:24.918462,🐔🐛111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pcedeiranQh2+FmSnPHHHHHyoutu.be/vf_2eGRBllA,pcede,iran,https://neal.fun/password-game/chess/puzzle113.svg,Black to move,Qh2+,"['11', '27']",youtu.be/vf_2eGRBllA,zkj,"(26, 11)",False
2023-07-25 09:59:28.644096,🐔🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️gnc3nspainQh8+FmSnPHHHyoutu.be/uNq_Q-bgq_g,gnc3n,spain,https://neal.fun/password-game/chess/puzzle85.svg,White to move,Qh8+,"['13', '0']",youtu.be/uNq_Q-bgq_g,zrkj,"(26, 18)",False
2023-07-25 10:00:22.200735,🐔🐛111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pmf5wchinaRh2+FmPHHHHHHHyoutu.be/wiGjv-aOlhE,pmf5w,china,https://neal.fun/password-game/chess/puzzle155.svg,Black to move,Rh2+,"['34', '32']",youtu.be/wiGjv-aOlhE,zqk,"(26, 17)",False
2023-07-25 10:02:37.148412,🐔🐛1111111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ndyfeitalyBe3+FmSnFHHHHHHyoutu.be/idhgcpHBvuo,ndyfe,italy,https://neal.fun/password-game/chess/puzzle37.svg,Black to move,Be3+,"['35', '14']",youtu.be/idhgcpHBvuo,zrqkj,"(26, 18)",False
2023-07-25 10:03:45.555569,🐔🐛1111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️x3fwfindiaNf3FmFHHHHHyoutu.be/dlmpmtHnnEI,x3fwf,india,https://neal.fun/password-game/chess/puzzle98.svg,White to move,Nf3,"['30', '43']",youtu.be/dlmpmtHnnEI,zrqkjgc,"(26, 18)",False
2023-07-25 09:59:45.243541,🐔🐛11111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nnfx3israelRe8+SnPHHHyoutu.be/u_HcNlmOSwg,nnfx3,israel,https://neal.fun/password-game/chess/puzzle95.svg,White to move,Re8+,"['32', '6']",youtu.be/u_HcNlmOSwg,zqkj,"(26, 17)",False
2023-07-25 14:46:20.816702,🐔🐛1111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️myc3cnorwayNd3+SnFePHHHHHHHyoutu.be/dkHyH__t3__Pg,myc3c,norway,https://neal.fun/password-game/chess/puzzle30.svg,Black to move,Nd3+,"['16', '17']",youtu.be/dkHyH__t3__Pg,zqj,"(26, 17)",False
2023-07-25 14:46:55.201383,🐔🐛1111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nbp3eiranQg6+FmPHHHHHHyoutu.be/ev2obEw4IHk,nbp3e,iran,https://neal.fun/password-game/chess/puzzle8.svg,White to move,Qg6+,"['19', '29']",youtu.be/ev2obEw4IHk,zjc,"(26, 10)",False
2023-07-25 14:48:40.234656,🐔🐛111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️nbcgbcolombiaRxf7+SnFePHHHHHHyoutu.be/ugcPtZyxZ6E,nbcgb,colombia,https://neal.fun/password-game/chess/puzzle89.svg,White to move,Rxf7+,"['4', '37']",youtu.be/ugcPtZyxZ6E,qkj,"(17, 11)",False
2023-07-25 14:49:37.766028,🐔🐛111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ndyferussiaRxh7+FmHyoutu.be/kkbbeWggqsQ,ndyfe,russia,https://neal.fun/password-game/chess/puzzle87.svg,White to move,Rxh7+,"['6', '23']",youtu.be/kkbbeWggqsQ,zjc,"(26, 10)",False
2023-07-25 14:55:54.373219,🐔🐛11111111111111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️ebcbxghanaBf5+FmFHHHyoutu.be/vrjAIBgxm__w,ebcbx,ghana,https://neal.fun/password-game/chess/puzzle25.svg,Black to move,Bf5+,"['10', '11']",youtu.be/vrjAIBgxm__w,zqk,"(26, 17)",False
2023-07-25 14:56:35.631306,🐔🐛11111111111$0XXXVpepsimayHe iamlovedwheel🌓🏋️‍♂️🏋️‍♂️🏋️‍♂️pf5ngnetherlandsQxg6+FmSnPFHyoutu.be/p_xhAqbiz3A,pf5ng,netherlands,https://neal.fun/password-game/chess/puzzle4.svg,White to move,Qxg6+,"['13', '54']",youtu.be/p_xhAqbiz3A,kjc,"(11, 10)",False
